strain	date	location	host	clade
Perdoes_virus/KP691627/Brazil/2012	2012	Brazil	Callithrix penicillata	PEDV
Perdoes_virus/KP691624/Brazil/2012	2012	Brazil	Callithrix penicillata	PEDV
Oropouche/PQ801466/Brazil/1991	1991	Peru	Homo sapiens	Unknown
Oropouche/PQ683512/Peru/2024	2024	Peru	Homo sapiens	Unknown
Oropouche/PQ683509/Peru/2024	2024	Peru	Homo sapiens	Unknown
Oropouche/PQ683506/Peru/2024	2024	Peru	Homo sapiens	Unknown
Oropouche/PQ550995/Brazil/2024	2024-05	Brazil	Homo sapiens	Unknown
Oropouche/PQ417948/Cuba/2024	2024-07	Cuba	Homo sapiens	Unknown
Oropouche/PQ363068/Italy/2024	2024-08	Italy	Homo sapiens	Unknown
Oropouche/PQ197412/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ197409/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ197406/Brazil/2024	2024-03	Brazil	Homo sapiens	Unknown
Oropouche/PQ197403/Brazil/2024	2024-01	Brazil	Homo sapiens	Unknown
Oropouche/PQ197400/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ197397/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ197394/Brazil/2024	2024-01	Brazil	Homo sapiens	Unknown
Oropouche/PQ197202/Brazil/2024	2024-06	Brazil	Homo sapiens	Unknown
Oropouche/PQ185967/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ185966/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168559/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168552/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168513/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168512/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168511/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168508/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168506/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168503/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168500/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168497/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168496/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168489/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168481/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168472/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168470/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168456/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168455/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168453/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168452/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168450/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168446/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168442/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168441/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168436/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168435/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168434/Brazil/2024	2024-04	Brazil	Homo sapiens	Unknown
Oropouche/PQ168431/Brazil/2024	2024-03	Brazil	Homo sapiens	Unknown
Oropouche/PQ149812/Brazil/2024	2024-05	Brazil	Homo sapiens	Unknown
Oropouche/PQ149809/Brazil/2024	2024-03	Brazil	Homo sapiens	Unknown
Oropouche/PP477308/Colombia/2024	2024-02	Colombia	Homo sapiens	Unknown
Oropouche/PP477303/Colombia/2024	2024-02	Colombia	Homo sapiens	Unknown
Oropouche/PP357048/Brazil/1991	1991	Brazil	Homo sapiens	Unknown
Oropouche/PP154172/Brazil/2015	2015-04	Brazil	Homo sapiens	Unknown
Oropouche/OP407852/Brazil/2009	2009-06	Brazil	Homo sapiens	Unknown
Oropouche/OP244883/Colombia/2021	2021	Colombia	Homo sapiens	Unknown
Oropouche/OP244880/Colombia/2021	2021	Colombia	Homo sapiens	Unknown
Oropouche/OP244877/Colombia/2020	2020	Colombia	Homo sapiens	Unknown
Oropouche/OL689334/French_Guiana/2020	2020-09	French_Guiana	Homo sapiens	Unknown
Oropouche/NC_005776	Unknown	Unknown	Unknown	Unknown
Oropouche/MT879228/Brazil/2018	2018-03	Brazil	Homo sapiens	Unknown
Oropouche/MN264267/Haiti/2014	2014-05	Haiti	Homo sapiens	Unknown
Oropouche/MK643117/Colombia/2017	2017	Colombia	Homo sapiens	Unknown
Oropouche/MK506832/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MK506831/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MK506830/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MK506829/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MK506828/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MG747607/Brazil/1991	1991	Brazil	Homo sapiens	Unknown
Oropouche/MG747604/Brazil/1990	1990	Brazil	Homo sapiens	Unknown
Oropouche/MG747601/Brazil/2006	2006	Brazil	Homo sapiens	Unknown
Oropouche/MG747598/Brazil/2006	2006	Brazil	Homo sapiens	Unknown
Oropouche/MG747595/Brazil/2006	2006	Brazil	Homo sapiens	Unknown
Oropouche/MG747592/Brazil/2004	2004	Brazil	Homo sapiens	Unknown
Oropouche/MG747589/Brazil/2004	2004	Brazil	Homo sapiens	Unknown
Oropouche/MG747586/Brazil/2003	2003	Brazil	Homo sapiens	Unknown
Oropouche/MG747583/Brazil/2003	2003	Brazil	Homo sapiens	Unknown
Oropouche/MG747580/Brazil/1996	1996	Brazil	Homo sapiens	Unknown
Oropouche/MG747577/Brazil/1996	1996	Brazil	Homo sapiens	Unknown
Oropouche/MG747574/Brazil/1996	1996	Brazil	Homo sapiens	Unknown
Oropouche/MG747571/Brazil/1994	1994	Brazil	Homo sapiens	Unknown
Oropouche/MG747568/Brazil/1994	1994	Brazil	Homo sapiens	Unknown
Oropouche/MG747565/Brazil/1994	1994	Brazil	Homo sapiens	Unknown
Oropouche/MG747562/Brazil/1994	1994	Brazil	Homo sapiens	Unknown
Oropouche/MG747559/Brazil/1994	1994	Brazil	Homo sapiens	Unknown
Oropouche/MG747556/Brazil/1980	1980	Brazil	Homo sapiens	Unknown
Oropouche/MG747553/Brazil/1979	1979	Brazil	Culicoides paraensis	Unknown
Oropouche/MG747550/Brazil/1978	1978	Brazil	Homo sapiens	Unknown
Oropouche/MG747547/Brazil/1971	1971	Brazil	Bradypus tridactylus	Unknown
Oropouche/MG747544/Brazil/1971	1971	Brazil	Bradypus tridactylus	Unknown
Oropouche/MG747541/Brazil/1971	1971	Brazil	Bradypus tridactylus	Unknown
Oropouche/MG747538/Brazil/1968	1968	Brazil	Culex quinquefasciatus	Unknown
Oropouche/MG747535/Brazil/1967	1967	Brazil	Homo sapiens	Unknown
Oropouche/MG747532/Brazil/1961	1961	Brazil	Homo sapiens	Unknown
Oropouche/MG747529/Brazil/1961	1961	Brazil	Homo sapiens	Unknown
Oropouche/MG747526/Brazil/1960	1960	Brazil	Ochlerotatus serratus	Unknown
Oropouche/MG747523/Brazil/2000	2000	Brazil	Callithrix sp.	Unknown
Oropouche/MG747520/Brazil/1993	1993	Brazil	Homo sapiens	Unknown
Oropouche/MG747517/Brazil/1988	1988	Brazil	Homo sapiens	Unknown
Oropouche/MG747514/Brazil1988	1988	Brazil	Homo sapiens	Unknown
Oropouche/MG747511/Brazil/1980	1980	Brazil	Homo sapiens	Unknown
Oropouche/MG747508/Brazil/1980	1980	Brazil	Homo sapiens	Unknown
Oropouche/MG747505/Brazil/1996	1996	Brazil	Homo sapiens	Unknown
Oropouche/MF926354/Ecuador/2016	2016-04	Ecuador	Homo sapiens	Unknown
Oropouche/MF620129/1961	1961-01	Brazil	Unknown	Unknown
Oropouche/KP795102/Panama/1999	1999-10	Panama	Homo sapiens	Unknown
Oropouche/KP795099/Peru/2000	2000-05	Peru	Homo sapiens	Unknown
Oropouche/KP795096/Peru/1994	1994-02	Peru	Homo sapiens	Unknown
Oropouche/KP795093/Peru/1998	1998-04	Peru	Homo sapiens	Unknown
Oropouche/KP795090/Peru/1997	1997-08	Peru	Homo sapiens	Unknown
Oropouche/KP795087/Peru/1995	1995-06	Peru	Homo sapiens	Unknown
Oropouche/KP795084/Peru/2008	2008-03	Peru	Homo sapiens	Unknown
Oropouche/KP795081/Panama/1989	1989	Panama	Homo sapiens	Unknown
Oropouche/KP795078/Panama/1989	1989-08	Panama	Homo sapiens	Unknown
Oropouche/KP795075/Panama/1989	1989	Panama	Homo sapiens	Unknown
Oropouche/KP795072/Peru/1992	1992-04	Peru	Homo sapiens	Unknown
Oropouche/KP691630/Brazil/2009	2009-08	Brazil	Homo sapiens	Unknown
Oropouche/KP691621/Brazil/2009	2009-07	Brazil	Homo sapiens	Unknown
Oropouche/KP691618/Brazil/2009	2009-06	Brazil	Homo sapiens	Unknown
